ObservationURI,ObservationName,SpecimenLabel,SpecimenURI,GeologicUnitName,FeatureOfInterestURI,LithologyTerm,RockName,SamplingFeatureURI,SamplingFeatureName,SampleCollectionDate,LocalityTerms,TectonicProvince,County,State,PLSS_Meridians,"Township",Range,Section_,SectionPart,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,ElevationDatum_m,SampleDepth_m,SampleMeasurementDate,SampleType,SampleMass_kg,OverburdenThickness_m,SampleDensity_g-cc,UncertainDensity,Laboratory,LaboratoryURI,RadioactivityMeasurementDevice,MeasurementProcedure,SampleCureDuration,MeasurementCount,Uranium,Thorium,Potassium,HeatProduction_mWm3,HeatProductionUncertainty,Notes,MetadataURI,Source
252,252,252,,,,,Monzonite,,,,,Interior Lowlands,,MN,,116N,39W,33,AAC,44.81620299,-95.54686468,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.67,9.65,3.24,1.17,0.016 per ?W m-3,,,
CDC-18 142-144,CDC-18 142-144,CDC-18 142-144,,,,,Leucogranite,,,,,Interior Lowlands,,MN,,58N,9W,33,BAD,47.46464933,-91.4727561,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.17,9.63,2.37,1.48,0.016 per ?W m-3,,,
AB-10 90-92,AB-10 90-92,AB-10 90-92,,McGrath Gneiss,,,Granitic Augen Gneiss,,,,,Interior Lowlands,Aitkin,MN,,44N,22W,5,AAA,46.33,-93.14,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.28,9.62,2.95,1.03,0.016 per ?W m-3,,,
Orr-1,Orr-1,Orr-1,,,,,Pegmatite,,,,,Interior Lowlands,,MN,,65N,19W,31,BBB,48.06635119,-92.82346259,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.94,9.55,2.38,1.93,0.016 per ?W m-3,,,
SC1B,SC1B,SC1B,,Unnamed,,,Granitic,Outcrop,,,,Interior Lowlands,,MN,,120N,48W,12,BBC,45.54,-94.25,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.01,9.54,3.94,1.84,,,,
VM-5,VM-5,VM-5,,,,,Granite,Outcrop,,,,Interior Lowlands,,MN,,65N,18W,32,BAB,48.17,-92.52,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.17,8.91,1.85,0.85,,,,
MNMV1A,MNMV1A,MNMV1A,,Unnamed,,,Gneiss,,,,,Interior Lowlands,,MN,,117N,40W,20,BBC,44.92,-95.7,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.90,8.90,1.85,1.30,,,,
206 B,206 B,206B,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,122N,28W,5,DDD,45.54560705,-94.24305068,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.06,8.85,2.44,1.66,0.016 per ?W m-3,,,
114 B,114 B,114B,,,,,Granite,,,,,Interior Lowlands,,MN,,71N,24W,34,BCC,48.59281289,-93.40373317,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.61,8.84,2.91,1.58,0.016 per ?W m-3,,,
128 B,128 B,128B,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,20W,17,ABD,47.77286488,-92.91620658,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.90,8.82,2.31,1.08,0.016 per ?W m-3,,,
CD-17 31-33,CD-17 31-33,CD-17 31-33,,Rice River Pluton,,,Hornblende Diorite,,,,,Interior Lowlands,St. Louis,MN,,62N,19W,32,CDB,47.81,-92.8,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.38,8.82,2.83,1.52,0.016 per ?W m-3,,,
VM-9,VM-9,VM-9,,,,,Pink Gneissic Granite,Outcrop,,,,Interior Lowlands,,MN,,63N,18W,8,BCB,48.4,-92.82,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.29,8.82,3.07,0.99,,,,
1985-3 473-474,1985-3 473-474,1985-3 473-474,,Unnamed,,,Granite,,,,,Interior Lowlands,Wadena,MN,,135N,34W,8,BDD,46.52,-95,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.49,8.72,2.04,0.91,0.016 per ?W m-3,,,
G10-003,G10-003,G10-003,,Sacred Heart Granite,,,Weakly Foliated Biotite Granite,,,,,Interior Lowlands,,MN,,114N,37W,7,BBA,44.69,-95.34,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.22,8.70,2.69,0.93,,,,
G10-007,G10-007,G10-007,,Morton Gneiss,,,Granitic Phase of Morton Gneiss,,,,,Interior Lowlands,,MN,,113N,35W,20,DBD,44.58,-95.09,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.09,8.55,2.46,1.65,,,,
MNLO1,MNLO1,MNLO1,,Unnamed,,,Granitic,,,,,Interior Lowlands,,MN,,160N,27W,33,BCD,48.63,-94.11,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.22,8.50,2.41,1.15,,,,
LF-2 226-229,LF-2 226-229,LF-2 226-229,,Linden Pluton,,,Foliated Quartz Monzonite,,,,,Interior Lowlands,,MN,,63N,21W,28,DDB,47.92,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.52,8.31,8.44,1.78,,,,
CD-17 43-45,CD-17 43-45,CD-17 43-45,,,,,Monzonite,,,,,Interior Lowlands,,MN,,62N,19W,32,DCD,47.81419861,-92.8045495,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.86,8.25,2.78,1.60,0.016 per ?W m-3,,,
206 A,206 A,206A,,,,,Granite,,,,,Interior Lowlands,,MN,,122N,28W,5,DDD,45.54560705,-94.24305068,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.09,8.20,3.86,1.75,0.016 per ?W m-3,,,
100 A,100 A,100A,,,,,Syenite,,,,,Interior Lowlands,,MN,,63N,19W,29,CBB,47.90740781,-92.79706638,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.46,8.00,4.59,1.38,0.016 per ?W m-3,,,
105 A,105 A,105A,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,25W,12,BCC,47.78177574,-93.47888474,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,8.21,7.77,3.43,3.02,0.016 per ?W m-3,,,
G10-001,G10-001,G10-001,,Montevideo Gneiss,,,Tonalitic Gneiss,,,,,Interior Lowlands,Chippewa,MN,,117N,40W,20,BBC,44.92,-95.7,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.56,7.68,1.63,0.85,0.016 per ?W m-3,,,
EC-25 130-131,EC-25 130-131,EC-25 130-131,,Glendorado Pluton,,,Biotite Hornblende Granodiorite,,,,,Interior Lowlands,Benton,MN,,36N,28W,24,DCD,45.6,-93.77,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.43,7.58,2.76,1.17,0.016 per ?W m-3,,,
CD-4 56.3-57.8,CD-4 56.3-57.8,CD-4 56.3-57.8,,,,,Monzonite,,,,,Interior Lowlands,,MN,,63N,20W,32,CAA,47.90098575,-92.92527241,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.56,7.40,4.88,1.39,0.016 per ?W m-3,,,
121,121,121,,,,,Syenodiorite,,,,,Interior Lowlands,,MN,,160N,29W,8,CBC,48.6863321,-94.40239554,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.32,7.38,2.77,1.13,0.016 per ?W m-3,,,
517,517,517,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,34W,12,ABD,49.35978899,-94.97111875,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.60,7.19,1.76,1.09,0.016 per ?W m-3,,,
250 B,250 B,250B,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,112N,35W,14,BBA,44.50248127,-95.00880143,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.57,7.09,3.80,1.01,0.016 per ?W m-3,,,
G10-014,G10-014,G10-014,,Bradbury Creek Granodiorite,,,Granodiorite,,,,,Interior Lowlands,,MN,,41N,26W,30,DDA,46.01,-93.68,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.07,6.98,1.32,1.16,,,,
115 B,115 B,115B,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,68N,24W,30,BAA,48.35131141,-93.46567879,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.16,6.94,1.62,1.47,0.016 per ?W m-3,,,
MNMV1B,MNMV1B,MNMV1B,,Unnamed,,,Gneiss,,,,,Interior Lowlands,,MN,,117N,40W,20,BBC,44.92,-95.7,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.34,6.89,1.80,1.01,,,,
1985-4 330-331.5,1985-4 330-331.5,1985-4 330-331.5,,Unnamed,,,Brecciated Leucotonalite,,,,,Interior Lowlands,Wadena,MN,,135N,35W,23,CDC,46.49,-95.07,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.94,6.78,2.31,0.91,0.016 per ?W m-3,,,
250 A,250 A,250A,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,112N,34W,15,BBA,44.50428527,-94.90798622,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.07,6.74,4.70,0.94,0.016 per ?W m-3,,,
27004 283-286,27004 283-286,27004 283-286,,Unnamed,,,Biotite Gneiss,,,,,Interior Lowlands,Stevens,MN,,124N,42W,30,CDA,45.52,-95.99,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.08,6.70,1.88,0.67,0.016 per ?W m-3,,,
225 C,225 C,225C,,,,,Granite,,,,,Interior Lowlands,,MN,,114N,37W,8,CCC,44.68859786,-95.33953819,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.08,6.69,2.31,0.97,0.016 per ?W m-3,,,
126,126,126,,,,,Syenite,,,,,Interior Lowlands,,MN,,63N,11W,22,AAC,47.93141795,-91.70936866,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.19,6.58,2.76,1.30,0.016 per ?W m-3,,,
253,253,253,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,112N,34W,14,CDD,44.50697312,-94.90499175,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.18,6.57,2.79,1.30,0.016 per ?W m-3,,,
G10-013,G10-013,G10-013,,Freedham Granodiorite,,,Granodiorite,,,,,Interior Lowlands,,MN,,41N,31W,26,AAB,46.01,-94.21,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.53,6.54,1.57,1.01,,,,
128 A,128 A,128A,,,,,Diorite,,,,,Interior Lowlands,,MN,,61N,20W,17,ABD,47.77286488,-92.91620658,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.10,6.46,1.20,0.86,0.016 per ?W m-3,,,
NW-10 287-288.8,NW-10 287-288.8,NW-10 287-288.8,,Unnamed,,,Monzodiorite,,,,,Interior Lowlands,,MN,,155N,41W,3,BBD,48.27,-95.9,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.39,6.30,1.59,0.96,,,,
GRG-LTV,GRG-LTV,GRG-LTV,,Giants Range Batholith,,,Hornblende Granite,,,,,Interior Lowlands,,MN,,59N,14W,17,AAA,47.6,-92.14,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.69,6.20,2.45,0.85,,,,
111,111,111,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,17W,9,AAA,47.78734286,-92.50361449,WGS84, ,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.63,6.17,2.28,1.08,0.016 per ?W m-3,,,
207,207,207,,,,,Granite,,,,,Interior Lowlands,,MN,,121N,30W,11,DAC,45.45324124,-94.42229339,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.18,6.09,3.52,1.07,0.016 per ?W m-3,,,
CD-35 189-191,CD-35 189-191,CD-35 189-191,,,,,Monzodiorite,,,,,Interior Lowlands,,MN,,60N,18W,24,AAC,47.67360973,-92.56496218,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.88,6.02,2.02,0.85,0.016 per ?W m-3,,,
KIB-68 338-339,KIB-68 338-339,KIB-68 338-339,,,,,Monzonite,,,,,Interior Lowlands,,MN,,151N,32W,13,CDD,47.89555895,-94.69956889,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.12,6.01,1.74,1.14,0.016 per ?W m-3,,,
CD-9 56-57.5,CD-9 56-57.5,CD-9 56-57.5,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,59N,22W,1,DCA,47.62712233,-93.08163027,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.71,6.00,2.81,1.14,0.016 per ?W m-3,,,
KIB-7 218.5-219.5,KIB-7 218.5-219.5,KIB-7 218.5-219.5,,Bello Lake Pluton,,,Monzonite,,,,,Interior Lowlands,,MN,,60N,26W,20,DCD,47.67,-93.68,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.75,6.00,2.11,1.08,,,,
SC1A,SC1A,SC1A,,Florian Batholith,,,Granitic,Outcrop,,,,Interior Lowlands,,MN,,124N,28W,19,DBA,45.54,-94.25,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.29,5.97,1.19,1.13,,,,
27011 436-434,27011 436-434,27011 436-434,,Unnamed,,,Biotite Hornblende Granite,,,,,Interior Lowlands,Sterns,MN,,124N,31W,33,BBB,45.5,-94.57,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.94,5.97,1.50,0.80,0.016 per ?W m-3,,,
EC-13 60-61,EC-13 60-61,EC-13 60-61,,Pease Pluton,,,Granite,,,,,Interior Lowlands,Mille Lacs,MN,,37N,27W,12,CBA,45.71,-93.65,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.15,5.87,2.18,1.39,0.016 per ?W m-3,,,
HB-87-4 723-727,HB-87-4 723-727,HB-87-4 723-727,,Unnamed,,,Monzodiorite,,,,,Interior Lowlands,,MN,,142N,37W,22,BDD,47.1,-95.35,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.87,5.84,1.75,1.07,,,,
G10-004,G10-004,G10-004,,Sacred Heart Granite,,,Weakly Foliated Biotite Granite,,,,,Interior Lowlands,,MN,,114N,37W,7,BBA,44.69,-95.34,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.13,5.84,1.99,0.64,,,,
VM-3,VM-3,VM-3,,,,,Lac La Croix Granite,Outcrop,,,,Interior Lowlands,,MN,,67N,17W,35,BBA,48.04,-92.97,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.12,5.78,1.74,0.87,,,,
CD-7 75.5-77,CD-7 75.5-77,CD-7 75.5-77,,,,,Monzodiorite,,,,,Interior Lowlands,,MN,,61N,21W,15,CDC,47.76734254,-93.01816355,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.41,5.74,2.29,0.99,0.016 per ?W m-3,,,
DU-8 4194-4197,DU-8 4194-4197,DU-8 4194-4197,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,61N,11W,3,DBB,47.79953189,-91.7166854,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.78,5.70,1.63,1.28,0.016 per ?W m-3,,,
KEX 05L022 263-265,KEX 05L022 263-265,KEX 05L022 263-265,,Tamarack Intrusion,,,Thomson Fm = well-cleaved argillite,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.13,5.67,2.07,1.42,,,,
524,524,524,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,35W,30,CDD,49.32945546,-95.10203011,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.65,5.66,3.48,0.90,0.016 per ?W m-3,,,
200,200,200,,,,,Argulite,,,,,Interior Lowlands,,MN,,46N,18W,28,CAA,46.58370332,-92.62653053,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.77,5.66,2.59,1.11,0.016 per ?W m-3,,,
SQ-1 283-288,SQ-1 283-288,SQ-1 283-288,,Unnamed,,,Weakly Foliated Hornblende Granite,Core,,,,Interior Lowlands,,MN,,105N,37W,7,DDD,44.24,-94.61,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.61,5.66,2.05,0.75,,,,
114 A,114 A,114A,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,71N,24W,34,BCC,48.59281289,-93.40373317,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.27,5.64,3.02,1.02,0.016 per ?W m-3,,,
KEX 05L022 635-637,KEX 05L022 635-637,KEX 05L022 635-637,,Tamarack Intrusion,,,Thomson Fm = well-cleaved mixed sediments,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.33,5.57,1.95,0.93,,,,
27005 221-224,27005 221-224,27005 221-224,,Unnamed,,,Foliate Biotite Granite,,,,,Interior Lowlands,Stevens,MN,,125n,42w,23,BDB,45.62,-95.91,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.09,5.52,1.80,1.07,0.016 per ?W m-3,,,
RL-1 833.5-835,RL-1 833.5-835,RL-1 833.5-835,,,,,Tonalite,Core,,,,Interior Lowlands,,MN,,163N,34W,31,ADD,46.65,-93.84,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.15,5.52,1.20,0.81,,,,
106,106,106,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,25W,13,DBD,47.77693376,-93.48348547,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.86,5.50,4.42,1.03,0.016 per ?W m-3,,,
SJ-1 155-156,SJ-1 155-156,SJ-1 155-156,,Unnamed,,,Granite (weathered),Core,,,,Interior Lowlands,,MN,,104N,42W,26,ADD,45.53,-94.28,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.25,5.45,2.84,0.98,,,,
104 B2,104 B2,104B2,,,,,Pegmatite,,,,,Interior Lowlands,,MN,,60N,18W,9,BAA,47.70021615,-92.63186386,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.66,5.30,2.10,1.53,0.016 per ?W m-3,,,
KIB-68 336.5-338,KIB-68 336.5-338,KIB-68 336.5-338,,Unnamed,,,Quartz Diorite,,,,,Interior Lowlands,,MN,,151N,32W,14,ABA,47.9,-94.7,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.74,5.26,1.59,0.72,,,,
223,223,223,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,113N,36W,4,DAD,44.62734234,-95.19216523,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.26,5.20,0.85,0.52,0.016 per ?W m-3,,,
124 B,124 B,124B,,,,,Schist,,,,,Interior Lowlands,,MN,,67N,21W,9,BCD,48.30299041,-93.03959132,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.04,5.17,1.53,1.04,0.016 per ?W m-3,,,
NCB-2 220.5-224,NCB-2 220.5-224,NCB-2 220.5-224,,Birchdale Intrusion,,,Granite,,,,,Interior Lowlands,,MN,,159N,27W,16,BDD,48.59,-94.11,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.01,5.11,3.00,0.91,,,,
G10-010,G10-010,G10-010,,Rockville Granite,,,Hornblende Granite,,,,,Interior Lowlands,,MN,,35N,30W,7,DCD,45.54,-94.13,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.45,5.04,4.28,1.40,,,,
VM-1,VM-1,VM-1,,,,,Fine Grained Diorite,Outcrop,,,,Interior Lowlands,,MN,,68N,20W,8,BAB,47.89,-92.19,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.37,5.01,1.28,0.83,,,,
501,501,501,,,,,Pegmatite,,,,,Interior Lowlands,,MN,,166N,33W,30,ABB,49.31565422,-94.94520694,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.37,4.97,1.35,0.58,0.016 per ?W m-3,,,
KEX 05L022 1263-1265,KEX 05L022 1263-1265,KEX 05L022 1263-1265,,Tamarack Intrusion,,,Tamarack int = Monzogabbro w/20% granophyre,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.16,4.84,1.37,0.78,,,,
P-12 231-232,P-12 231-232,P-12 231-232,,Unnamed,,,Biotite Gneiss,,,,,Interior Lowlands,,MN,,42N,29W,11,AAA,46.14,-93.96,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.19,4.84,0.67,0.46,,,,
DU-16 3873.5-3876.5,DU-16 3873.5-3876.5,DU-16 3873.5-3876.5,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,61N,11W,31,DAD,47.73325013,-91.78996312,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection, ,,0.48,4.65,1.66,0.61,0.016 per ?W m-3,,,
EC-31 204.5-206,EC-31 204.5-206,EC-31 204.5-206,,Reformatory Granite,,,Granite,,,,,Interior Lowlands,Sherburne,MN,,35N,29W,34,DCB,45.48,-93.94,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.86,4.64,1.42,0.66,0.016 per ?W m-3,,,
109,109,109,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,17W,16,AAB,47.79334092,-92.45527492,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.96,4.64,0.93,0.67,0.016 per ?W m-3,,,
534,534,534,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,35W,27,BDC,49.31185076,-95.15078719,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.08,4.57,2.85,0.88,0.016 per ?W m-3,,,
EC-6 50-52,EC-6 50-52,EC-6 50-52,,Hillman Migmatite,,,Granite Migmatite Mixture,,,,,Interior Lowlands,Morrison,MN,,41N,28W,26,BCA,46,-93.84,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.89,4.54,1.49,0.92,0.016 per ?W m-3,,,
116 B,116 B,116B,,,,,Schist,,,,,Interior Lowlands,,MN,,68N,19W,21,ADB,48.36591,-92.78612451,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.46,4.49,1.54,0.85,0.016 per ?W m-3,,,
EC-8 34-35,EC-8 34-35,EC-8 34-35,,Foley Granite,,,Granite,,,,,Interior Lowlands,Kanabec,MN,,39N,25W,7,CBC,45.88,-93.51,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.16,4.47,1.67,0.75,0.016 per ?W m-3,,,
CS-1 110-111,CS-1 110-111,CS-1 110-111,,Richmond Charnokitic Granite,,,Charnokitic Granite (weathered),,,,,Interior Lowlands,Stearns,MN,,123N,30W,19,DBD,45.45,-94.5,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.38,4.42,3.08,0.69,0.016 per ?W m-3,,,
107,107,107,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,25W,13,DAA,47.78058325,-93.48218439,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.10,4.37,5.30,1.10,0.016 per ?W m-3,,,
VM-8,VM-8,VM-8,,,,,Granite,Outcrop,,,,Interior Lowlands,,MN,,68N,19W,5,CCA,48.34,-92.96,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.44,4.35,1.01,0.78,,,,
G10-015,G10-015,G10-015,,Warman Granite,,,Biotite Granite,,,,,Interior Lowlands,,MN,,41N,23W,8,DCA,46.05,-93.28,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.17,4.28,1.59,1.02,,,,
KEX 05L022 305-307,KEX 05L022 305-307,KEX 05L022 305-307,,Tamarack Intrusion,,,Thomson Fm = greywacke and siltstone,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.69,4.27,2.00,0.93,,,,
DU-16 3841-3843.5,DU-16 3841-3843.5,DU-16 3841-3843.5,,,,,Granite,,,,,Interior Lowlands,,MN,,61N,11W,31,DAD,47.73325013,-91.78996312,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.51,4.16,1.14,0.54,0.016 per ?W m-3,,,
